valid_lines	tut=None	Top,Mid,Bottom
line_exists	tut=None;line=Mid	true
fallback_line	tut=None;line=Mid	Mid
line_exists	tut=None;line=Bottom	true
fallback_line	tut=None;line=Bottom	Bottom
line_exists	tut=None;line=Top	true
fallback_line	tut=None;line=Top	Top
position_exists	tut=None;pos=Top	true
position_exists	tut=None;pos=Jungle	true
position_exists	tut=None;pos=Mid	true
position_exists	tut=None;pos=Bottom	true
position_exists	tut=None;pos=Support	true
morgard_exists	tut=None	true
serpen_exists	tut=None	true
steal_target_allowed	tut=None;tgt=Epic	true
steal_target_allowed	tut=None;tgt=Serpen	true
steal_action_allowed	tut=None;act=None	true
steal_action_allowed	tut=None;act=Lurk(Epic)	true
steal_action_allowed	tut=None;act=Lurk(Serpen)	true
steal_action_allowed	tut=None;act=Commit(Epic)	true
steal_action_allowed	tut=None;act=Commit(Serpen)	true
goal_allowed	tut=None;goal=Line(Mid)	true
goal_allowed	tut=None;goal=Line(Bottom)	true
goal_allowed	tut=None;goal=Line(Top)	true
goal_allowed	tut=None;goal=Jungle(Rhino,0)	true
goal_allowed	tut=None;goal=Jungle(Rhino,1)	true
goal_allowed	tut=None;goal=Jungle(Mushroom,0)	true
goal_allowed	tut=None;goal=Jungle(Mushroom,1)	true
goal_allowed	tut=None;goal=Jungle(Stump,0)	true
goal_allowed	tut=None;goal=Jungle(Stump,1)	true
goal_allowed	tut=None;goal=Jungle(Bee,0)	true
goal_allowed	tut=None;goal=Jungle(Bee,1)	true
goal_allowed	tut=None;goal=Jungle(Morgard,0)	true
goal_allowed	tut=None;goal=Jungle(Morgard,1)	true
goal_allowed	tut=None;goal=Jungle(Serpen,0)	true
goal_allowed	tut=None;goal=Jungle(Serpen,1)	true
goal_allowed	tut=None;goal=Epic	true
goal_allowed	tut=None;goal=Serpen	true
goal_allowed	tut=None;goal=Nexus(0)	true
goal_allowed	tut=None;goal=Nexus(1)	true
goal_allowed	tut=None;goal=Battle(None)	true
goal_allowed	tut=None;goal=Battle(Some(0))	true
goal_allowed	tut=None;goal=Recall	true
main_objective_allowed	tut=None;mo=Morgard(ph=Setup,wb=false)	true
main_objective_allowed	tut=None;mo=Morgard(ph=Setup,wb=true)	true
main_objective_allowed	tut=None;mo=Morgard(ph=Assemble,wb=false)	true
main_objective_allowed	tut=None;mo=Morgard(ph=Assemble,wb=true)	true
main_objective_allowed	tut=None;mo=Morgard(ph=Hunt,wb=false)	true
main_objective_allowed	tut=None;mo=Morgard(ph=Hunt,wb=true)	true
main_objective_allowed	tut=None;mo=Morgard(ph=None,wb=false)	true
main_objective_allowed	tut=None;mo=Morgard(ph=None,wb=true)	true
main_objective_allowed	tut=None;mo=Serpen(ph=Setup,wb=false)	true
main_objective_allowed	tut=None;mo=Serpen(ph=Setup,wb=true)	true
main_objective_allowed	tut=None;mo=Serpen(ph=Assemble,wb=false)	true
main_objective_allowed	tut=None;mo=Serpen(ph=Assemble,wb=true)	true
main_objective_allowed	tut=None;mo=Serpen(ph=Hunt,wb=false)	true
main_objective_allowed	tut=None;mo=Serpen(ph=Hunt,wb=true)	true
main_objective_allowed	tut=None;mo=Serpen(ph=None,wb=false)	true
