setting_ok	true	width=960000	height=960000	tps=60	champ_radius=10000	visible=130000
towers	16	twin0=2	twin1=2
ALLY	id=18	x=15000	y=913000	hp=1	max=1	dist_sq_from_c0=0
ALLY	id=19	x=32000	y=928000	hp=1	max=1	dist_sq_from_c0=514000000
ALLY	id=20	x=49000	y=911000	hp=1	max=1	dist_sq_from_c0=1160000000
ALLY	id=21	x=15000	y=938000	hp=1	max=1	dist_sq_from_c0=625000000
ALLY	id=22	x=49000	y=946000	hp=1	max=1	dist_sq_from_c0=2245000000
V23	range=0	min_hp=0	game=1	mine(ule)=1	alt(ult)=0	MATCH(판별 ule)
V23	range=0	min_hp=1	game=1	mine(ule)=1	alt(ult)=0	MATCH(판별 ule)
V23	range=0	min_hp=50	game=1	mine(ule)=1	alt(ult)=0	MATCH(판별 ule)
V23	range=0	min_hp=99	game=1	mine(ule)=1	alt(ult)=0	MATCH(판별 ule)
V23	range=0	min_hp=100	game=1	mine(ule)=1	alt(ult)=0	MATCH(판별 ule)
V23	range=0	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=1	min_hp=0	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=1	min_hp=1	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=1	min_hp=50	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=1	min_hp=99	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=1	min_hp=100	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=1	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=1000	min_hp=0	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=1000	min_hp=1	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=1000	min_hp=50	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=1000	min_hp=99	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=1000	min_hp=100	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=1000	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=100000	min_hp=0	game=5	mine(ule)=5	alt(ult)=5	MATCH
V23	range=100000	min_hp=1	game=5	mine(ule)=5	alt(ult)=5	MATCH
V23	range=100000	min_hp=50	game=5	mine(ule)=5	alt(ult)=5	MATCH
V23	range=100000	min_hp=99	game=5	mine(ule)=5	alt(ult)=5	MATCH
V23	range=100000	min_hp=100	game=5	mine(ule)=5	alt(ult)=5	MATCH
V23	range=100000	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=10000000	min_hp=0	game=5	mine(ule)=5	alt(ult)=5	MATCH
V23	range=10000000	min_hp=1	game=5	mine(ule)=5	alt(ult)=5	MATCH
V23	range=10000000	min_hp=50	game=5	mine(ule)=5	alt(ult)=5	MATCH
V23	range=10000000	min_hp=99	game=5	mine(ule)=5	alt(ult)=5	MATCH
V23	range=10000000	min_hp=100	game=5	mine(ule)=5	alt(ult)=5	MATCH
V23	range=10000000	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=0	min_hp=0	game=1	mine(ule)=1	alt(ult)=0	MATCH(판별 ule)
V23	range=0	min_hp=1	game=1	mine(ule)=1	alt(ult)=0	MATCH(판별 ule)
V23	range=0	min_hp=50	game=1	mine(ule)=1	alt(ult)=0	MATCH(판별 ule)
V23	range=0	min_hp=99	game=1	mine(ule)=1	alt(ult)=0	MATCH(판별 ule)
V23	range=0	min_hp=100	game=1	mine(ule)=1	alt(ult)=0	MATCH(판별 ule)
V23	range=0	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=0	min_hp=0	game=1	mine(ule)=1	alt(ult)=0	MATCH(판별 ule)
V23	range=0	min_hp=1	game=1	mine(ule)=1	alt(ult)=0	MATCH(판별 ule)
V23	range=0	min_hp=50	game=1	mine(ule)=1	alt(ult)=0	MATCH(판별 ule)
V23	range=0	min_hp=99	game=1	mine(ule)=1	alt(ult)=0	MATCH(판별 ule)
V23	range=0	min_hp=100	game=1	mine(ule)=1	alt(ult)=0	MATCH(판별 ule)
V23	range=0	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=1	min_hp=0	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=1	min_hp=1	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=1	min_hp=50	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=1	min_hp=99	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=1	min_hp=100	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=1	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=2	min_hp=0	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=2	min_hp=1	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=2	min_hp=50	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=2	min_hp=99	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=2	min_hp=100	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=2	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=22670	min_hp=0	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=22670	min_hp=1	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=22670	min_hp=50	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=22670	min_hp=99	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=22670	min_hp=100	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=22670	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=22671	min_hp=0	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=22671	min_hp=1	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=22671	min_hp=50	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=22671	min_hp=99	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=22671	min_hp=100	game=1	mine(ule)=1	alt(ult)=1	MATCH
V23	range=22671	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=22672	min_hp=0	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=22672	min_hp=1	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=22672	min_hp=50	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=22672	min_hp=99	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=22672	min_hp=100	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=22672	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=22673	min_hp=0	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=22673	min_hp=1	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=22673	min_hp=50	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=22673	min_hp=99	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=22673	min_hp=100	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=22673	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=34057	min_hp=0	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=34057	min_hp=1	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=34057	min_hp=50	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=34057	min_hp=99	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=34057	min_hp=100	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=34057	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=34058	min_hp=0	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=34058	min_hp=1	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=34058	min_hp=50	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=34058	min_hp=99	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=34058	min_hp=100	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=34058	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=34059	min_hp=0	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=34059	min_hp=1	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=34059	min_hp=50	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=34059	min_hp=99	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=34059	min_hp=100	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=34059	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=34060	min_hp=0	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=34060	min_hp=1	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=34060	min_hp=50	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=34060	min_hp=99	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=34060	min_hp=100	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=34060	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=24999	min_hp=0	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=24999	min_hp=1	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=24999	min_hp=50	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=24999	min_hp=99	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=24999	min_hp=100	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=24999	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=25000	min_hp=0	game=3	mine(ule)=3	alt(ult)=2	MATCH(판별 ule)
V23	range=25000	min_hp=1	game=3	mine(ule)=3	alt(ult)=2	MATCH(판별 ule)
V23	range=25000	min_hp=50	game=3	mine(ule)=3	alt(ult)=2	MATCH(판별 ule)
V23	range=25000	min_hp=99	game=3	mine(ule)=3	alt(ult)=2	MATCH(판별 ule)
