champ	t0	Top	x=15000	y=913000	is_top_side=true	is_bottom_side=false
champ	t0	Jungle	x=32000	y=928000	is_top_side=true	is_bottom_side=false
champ	t0	Mid	x=49000	y=911000	is_top_side=true	is_bottom_side=false
champ	t0	Bottom	x=15000	y=938000	is_top_side=true	is_bottom_side=false
champ	t0	Support	x=49000	y=946000	is_top_side=true	is_bottom_side=false
champ	t1	Top	x=913000	y=15000	is_top_side=true	is_bottom_side=false
champ	t1	Jungle	x=928000	y=32000	is_top_side=true	is_bottom_side=false
champ	t1	Mid	x=911000	y=49000	is_top_side=true	is_bottom_side=false
champ	t1	Bottom	x=938000	y=15000	is_top_side=true	is_bottom_side=false
champ	t1	Support	x=946000	y=49000	is_top_side=true	is_bottom_side=false
bush	lead=0	line=Top	team=0	pos=Top	GANKER=Hide(HideSubPlan { bush: 16, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Top	team=0	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 16, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Top	team=0	pos=Mid	GANKER=Hide(HideSubPlan { bush: 16, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Top	team=0	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 16, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Top	team=0	pos=Support	GANKER=Hide(HideSubPlan { bush: 16, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Top	team=1	pos=Top	GANKER=Hide(HideSubPlan { bush: 2, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Top	team=1	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 2, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Top	team=1	pos=Mid	GANKER=Hide(HideSubPlan { bush: 2, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Top	team=1	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 2, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Top	team=1	pos=Support	GANKER=Hide(HideSubPlan { bush: 2, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Mid	team=0	pos=Top	GANKER=Hide(HideSubPlan { bush: 17, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Mid	team=0	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 17, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Mid	team=0	pos=Mid	GANKER=Hide(HideSubPlan { bush: 17, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Mid	team=0	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 17, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Mid	team=0	pos=Support	GANKER=Hide(HideSubPlan { bush: 17, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Mid	team=1	pos=Top	GANKER=Hide(HideSubPlan { bush: 4, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Mid	team=1	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 4, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Mid	team=1	pos=Mid	GANKER=Hide(HideSubPlan { bush: 4, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
