114	el[0] tag=15 live17=[0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0] pad7=[0, 0, 0, 0, 0, 0, 0] start_tick=0 target=23 is_act=0
114	el[1] tag=16 live17=[0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0] pad7=[0, 0, 0, 0, 0, 0, 0] start_tick=0 target=23 is_act=0
114	tick=0	n=1	dist=0	vis=1	atk_r=-1	level=-1	sk_r=-1	game=[(15, 23), (16, 23)]	mine=[(15, 23), (16, 23)]	ok=true	len=2	cap=2	ptr_dangling8=false	pay_ok=true	a20030 s20030 d2=0 
114	el[0] tag=15 live17=[0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0] pad7=[0, 0, 0, 0, 0, 0, 0] start_tick=0 target=23 is_act=0
114	el[1] tag=16 live17=[0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0] pad7=[0, 0, 0, 0, 0, 0, 0] start_tick=0 target=23 is_act=0
114	el[2] tag=15 live17=[0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0] pad7=[0, 0, 0, 0, 0, 0, 0] start_tick=0 target=24 is_act=0
114	el[3] tag=16 live17=[0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0] pad7=[0, 0, 0, 0, 0, 0, 0] start_tick=0 target=24 is_act=0
114	el[4] tag=15 live17=[0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0] pad7=[0, 0, 0, 0, 0, 0, 0] start_tick=0 target=26 is_act=0
114	el[5] tag=16 live17=[0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0] pad7=[0, 0, 0, 0, 0, 0, 0] start_tick=0 target=26 is_act=0
114	tick=0	n=3	dist=0	vis=1	atk_r=-1	level=-1	sk_r=-1	game=[(15, 23), (16, 23), (15, 24), (16, 24), (15, 26), (16, 26)]	mine=[(15, 23), (16, 23), (15, 24), (16, 24), (15, 26), (16, 26)]	ok=true	len=6	cap=8	ptr_dangling8=false	pay_ok=true	a20030 s20030 d2=0 a20030 s20030 d2=0 a20030 s20030 d2=0 
114	el[0] tag=15 live17=[0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0] pad7=[0, 0, 0, 0, 0, 0, 0] start_tick=0 target=23 is_act=0
114	el[1] tag=16 live17=[0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0] pad7=[0, 0, 0, 0, 0, 0, 0] start_tick=0 target=23 is_act=0
114	tick=0	n=1	dist=20030	vis=1	atk_r=-1	level=-1	sk_r=-1	game=[(15, 23), (16, 23)]	mine=[(15, 23), (16, 23)]	ok=true	len=2	cap=2	ptr_dangling8=false	pay_ok=true	a20030 s20030 d2=401200900 
114	tick=0	n=1	dist=20031	vis=1	atk_r=-1	level=-1	sk_r=-1	game=[]	mine=[]	ok=true	len=0	cap=0	ptr_dangling8=true	pay_ok=true	a20030 s20030 d2=401240961 
114	tick=0	n=1	dist=80000	vis=1	atk_r=-1	level=-1	sk_r=-1	game=[]	mine=[]	ok=true	len=0	cap=0	ptr_dangling8=true	pay_ok=true	a20030 s20030 d2=6400000000 
114	tick=0	n=1	dist=80001	vis=1	atk_r=-1	level=-1	sk_r=-1	game=[]	mine=[]	ok=true	len=0	cap=0	ptr_dangling8=true	pay_ok=true	D
114	tick=0	n=2	dist=0	vis=0	atk_r=-1	level=-1	sk_r=-1	game=[]	mine=[]	ok=true	len=0	cap=0	ptr_dangling8=true	pay_ok=true	VV
114	el[0] tag=15 live17=[0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0] pad7=[0, 0, 0, 0, 0, 0, 0] start_tick=0 target=23 is_act=0
114	tick=0	n=1	dist=25030	vis=1	atk_r=5000	level=-1	sk_r=-1	game=[(15, 23)]	mine=[(15, 23)]	ok=true	len=1	cap=1	ptr_dangling8=false	pay_ok=true	a25030 s20030 d2=626500900 
