champ	slot	state	cc	ver_same	vers	casting	range
AndroidChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
AndroidChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Direction	range=0
AndroidChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=1
AndroidChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
ArcherChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
ArcherChampionInfo	skill	PANIC_EFFECT
ArcherChampionInfo	skill2	PANIC_EFFECT
ArcherChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
BardChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
BardChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
BardChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
BardChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
BarrierMagicianChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
BarrierMagicianChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
BarrierMagicianChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
BarrierMagicianChampionInfo	ult	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=0
BerserkerChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
BerserkerChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=10
BerserkerChampionInfo	skill2	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=0
BerserkerChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
BomberChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
BomberChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
BomberChampionInfo	skill2	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Position	range=0
BomberChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
BoomerangHunterChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
BoomerangHunterChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Direction	range=0
BoomerangHunterChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Direction	range=0
BoomerangHunterChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Direction	range=0
CavalryKnightChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
CavalryKnightChampionInfo	skill	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Position	range=0
CavalryKnightChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=1
CavalryKnightChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=1
ChefChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
ChefChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Direction	range=0
ChefChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
ChefChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
CircusBladeChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
CircusBladeChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Direction	range=0
CircusBladeChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Direction	range=1
CircusBladeChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
ClownChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
ClownChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
ClownChampionInfo	skill2	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=1
ClownChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=1
DancerChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
DancerChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Direction	range=0
DancerChampionInfo	skill2	NO_EFFECT	-	-	-	-	-
DancerChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Direction	range=0
DarkMageChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
DarkMageChampionInfo	skill	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Direction	range=0
DarkMageChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
DarkMageChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=80000
DemonChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
DemonChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
DemonChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=10
