case	champ	lvl	sk_cd	sk2_cd	ult_cd	has_sk	has_sk2	has_ult	near	die_imminent	cc_threat
case	0	1	0	0	0	true	true	true	5	true	false
case	0	2	0	0	0	true	true	true	5	true	false
case	0	3	0	0	0	true	true	true	5	true	false
case	0	4	0	0	0	true	true	true	5	true	false
case	0	5	0	0	0	true	true	true	5	true	false
case	0	5	61	61	61	true	true	true	5	true	false
case	0	5	60	60	60	true	true	true	5	true	false
case	0	5	61	60	60	true	true	true	5	true	false
case	0	5	60	61	61	true	true	true	5	true	false
case	0	5	61	61	60	true	true	true	5	true	false
case	0	5	61	60	61	true	true	true	5	true	false
case	1	1	0	0	0	true	true	true	5	true	true
case	1	2	0	0	0	true	true	true	5	true	true
case	1	3	0	0	0	true	true	true	5	true	true
case	1	4	0	0	0	true	true	true	5	true	true
case	1	5	0	0	0	true	true	true	5	true	true
case	1	5	61	61	61	true	true	true	5	true	false
case	1	5	60	60	60	true	true	true	5	true	true
case	1	5	61	60	60	true	true	true	5	true	false
case	1	5	60	61	61	true	true	true	5	true	true
case	1	5	61	61	60	true	true	true	5	true	false
case	1	5	61	60	61	true	true	true	5	true	false
case	2	1	0	0	0	true	true	true	5	true	false
case	2	2	0	0	0	true	true	true	5	true	false
case	2	3	0	0	0	true	true	true	5	true	true
case	2	4	0	0	0	true	true	true	5	true	true
case	2	5	0	0	0	true	true	true	5	true	true
case	2	5	61	61	61	true	true	true	5	true	false
case	2	5	60	60	60	true	true	true	5	true	true
case	2	5	61	60	60	true	true	true	5	true	true
case	2	5	60	61	61	true	true	true	5	true	false
case	2	5	61	61	60	true	true	true	5	true	false
case	2	5	61	60	61	true	true	true	5	true	true
case	3	1	0	0	0	true	true	true	5	true	false
case	3	2	0	0	0	true	true	true	5	true	false
case	3	3	0	0	0	true	true	true	5	true	false
case	3	4	0	0	0	true	true	true	5	true	false
case	3	5	0	0	0	true	true	true	5	true	true
case	3	5	61	61	61	true	true	true	5	true	false
case	3	5	60	60	60	true	true	true	5	true	true
case	3	5	61	60	60	true	true	true	5	true	true
case	3	5	60	61	61	true	true	true	5	true	false
case	3	5	61	61	60	true	true	true	5	true	true
case	3	5	61	60	61	true	true	true	5	true	false
