setting_ok	true	width=960000 height=960000 tps=60 radius=10000

### R1 rule_scope 진리표 (tutorial 0..8)
tut	lineTop	lineMid	lineBot	morgard	serpen	posTop	posJng	posMid	posBot	posSup	gLine0	gLine1	gLine2	gJungle	gEpic	gSerpen	gNexus	gBattle	gRecall
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	1
2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1
3	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	1
4	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1
5	0	1	1	0	1	0	0	1	1	1	0	1	1	0	0	1	1	1	1
6	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1
7	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1
8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
--- 주장 대조 (열 × tutorial)
lineTop	claim=[0, 2, 7, 8]	game=[0, 2, 7, 8]	OK
lineMid	claim=[0, 4, 5, 7, 8]	game=[0, 4, 5, 7, 8]	OK
lineBot	claim=[0, 1, 3, 5, 7, 8]	game=[0, 1, 3, 5, 7, 8]	OK
morgard	claim=[0, 7, 8]	game=[0, 7, 8]	OK
serpen	claim=[0, 5, 7, 8]	game=[0, 5, 7, 8]	OK
posTop	claim=[0, 2, 7, 8]	game=[0, 2, 7, 8]	OK
posJng	claim=[0, 6, 8]	game=[0, 6, 8]	OK
posMid	claim=[0, 4, 5, 7, 8]	game=[0, 4, 5, 7, 8]	OK
posBot	claim=[0, 1, 3, 5, 7, 8]	game=[0, 1, 3, 5, 7, 8]	OK
posSup	claim=[0, 1, 3, 5, 7, 8]	game=[0, 1, 3, 5, 7, 8]	OK
gLineTop	claim=[0, 2, 7, 8]	game=[0, 2, 7, 8]	OK
gLineMid	claim=[0, 4, 5, 7, 8]	game=[0, 4, 5, 7, 8]	OK
gLineBot	claim=[0, 1, 3, 5, 7, 8]	game=[0, 1, 3, 5, 7, 8]	OK
gJungle	claim=[0, 6, 8]	game=[0, 6, 8]	OK
gEpic	claim=[0, 7, 8]	game=[0, 7, 8]	OK
gSerpen	claim=[0, 5, 7, 8]	game=[0, 5, 7, 8]	OK
gNexus	claim=[0, 1, 2, 3, 4, 5, 6, 7, 8]	game=[0, 1, 2, 3, 4, 5, 6, 7, 8]	OK
gBattle	claim=[0, 1, 2, 3, 4, 5, 6, 7, 8]	game=[0, 1, 2, 3, 4, 5, 6, 7, 8]	OK
gRecall	claim=[0, 1, 2, 3, 4, 5, 6, 7, 8]	game=[0, 1, 2, 3, 4, 5, 6, 7, 8]	OK
R1_MATCH	171/171

### R2 chat_allowed 표본 (tutorial 0..8)
chat	0	1	2	3	4	5	6	7	8
MorgardGiveUp	1	0	0	0	0	0	0	1	1
Cancel(TargetMissing)	1	1	1	1	1	1	1	1	1

### S11 v3_fall_back_to_passive — version 게이트 (Moba, tutorial=None)
ver	fallbacks	mf0	mf1	plantag	diff_ranges
0	0	0	0	3	
1	0	0	0	3	
2	1	29	0	3	0x5f8..0x5fa,0x600..0x601,0x718..0x719,0x738..0x73a,0x742..0x746,0x748..0x74a,0x750..0x752,0x758..0x75e,0x760..0x761,0x762..0x766,0x768..0x769,0x772..0x773,0x778..0x77a,0x780..0x781,0x790..0x791,0x7a8..0x7a9,0x1610..0x1611,0x1628..0x1629
3	1	29	0	3	0x5f8..0x5fa,0x600..0x601,0x718..0x719,0x738..0x73a,0x742..0x746,0x748..0x74a,0x750..0x752,0x758..0x75e,0x760..0x761,0x762..0x766,0x768..0x769,0x1610..0x1611,0x1628..0x1629
4	1	29	0	3	0x5f8..0x5fa,0x600..0x601,0x718..0x719,0x738..0x73a,0x742..0x746,0x748..0x74a,0x750..0x752,0x758..0x75e,0x760..0x761,0x762..0x766,0x768..0x769,0x1610..0x1611,0x1628..0x1629
5	1	29	0	3	0x5f8..0x5fa,0x600..0x601,0x718..0x719,0x738..0x73a,0x742..0x746,0x748..0x74a,0x750..0x752,0x758..0x75e,0x760..0x761,0x762..0x766,0x768..0x769,0x1610..0x1611,0x1628..0x1629
6	1	29	0	3	0x5f8..0x5fa,0x600..0x601,0x718..0x719,0x738..0x73a,0x742..0x746,0x748..0x74a,0x750..0x752,0x758..0x75e,0x760..0x761,0x762..0x766,0x768..0x769,0x1610..0x1611,0x1628..0x1629

### S11 tutorial 게이트 — version=3, tutorial 0..8 (허용되면 fallbacks=1)
tut	fallbacks	mf0	plantag	plan_goal_tag	diff_ranges
None	1	29	3	0	0x5f8..0x5fa,0x600..0x601,0x718..0x719,0x738..0x73a,0x742..0x746,0x748..0x74a,0x750..0x752,0x758..0x75e,0x760..0x766,0x768..0x769,0x1610..0x1611,0x1628..0x1629
First	0	0	3	0	
TopSolo	1	29	3	0	0x5f8..0x5fa,0x600..0x601,0x718..0x719,0x738..0x73a,0x742..0x746,0x748..0x74a,0x750..0x752,0x758..0x75e,0x760..0x766,0x768..0x769,0x1610..0x1611,0x1628..0x1629
Bottom	0	0	3	0	
MidSolo	0	0	3	0	
MidBottom	0	0	3	0	
JungleOnly	0	0	3	0	
Line	1	29	3	0	0x5f8..0x5fa,0x600..0x601,0x718..0x719,0x738..0x73a,0x742..0x746,0x748..0x74a,0x750..0x752,0x758..0x75e,0x760..0x766,0x768..0x769,0x1610..0x1611,0x1628..0x1629
Total	1	29	3	0	0x5f8..0x5fa,0x600..0x601,0x718..0x719,0x738..0x73a,0x742..0x746,0x748..0x74a,0x750..0x752,0x758..0x75e,0x760..0x766,0x768..0x769,0x1610..0x1611,0x1628..0x1629

### S11 게임모드 게이트 — Moba / SingleLane / DeathMatch
mode	modetag	fallbacks	mf0	plantag	plan+0x20	plan+0x21	diff_ranges
Moba	0	1	29	3	0	0	0x5f8..0x5fa,0x600..0x601,0x718..0x719,0x738..0x73a,0x742..0x746,0x748..0x74a,0x750..0x752,0x758..0x75e,0x760..0x766,0x768..0x769,0x772..0x773,0x778..0x77a,0x780..0x781,0x790..0x791,0x7a8..0x7a9,0x1610..0x1611,0x1628..0x1629

thread 'main' (36056) panicked at game-ai\src\plan_legacy\old\single_line.rs:136:99:
called `Option::unwrap()` on a `None` value
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
SingleLane	1	1	29	4	0	1	0x5e8..0x5e9,0x5f8..0x5f9,0x609..0x60a,0x610..0x611,0x618..0x619,0x628..0x62d,0x630..0x632,0x640..0x645,0x648..0x64d,0x652..0x656,0x658..0x65d,0x660..0x666,0x668..0x669,0x670..0x671,0x678..0x67e,0x680..0x686,0x688..0x68d,0x690..0x695,0x698..0x69d,0x6a0..0x6a6,0x6a8..0x6ad,0x6b0..0x6b6,0x760..0x765,0x1610..0x1611,0x1628..0x1629  <PANIC>
DeathMatch	2	0	0	3	0	0	

### S12 handle_chat — 게이트 1(자기발화) / 2(position_exists) / 3(chat_allowed) / 트레이스
tut	trace	from	selfpos	trace_ev	diff_ranges	pred_pass
None	Off	Top	Top	0		false
None	Off	Jungle	Top	0		true
None	Off	Mid	Top	0		true
None	Off	Bottom	Top	0		true
None	Off	Support	Top	0		true
None	Summary	Top	Top	0		false
None	Summary	Jungle	Top	1	0x858..0x859,0x860..0x866,0x868..0x869	true
None	Summary	Mid	Top	1	0x858..0x859,0x860..0x866,0x868..0x869	true
None	Summary	Bottom	Top	1	0x858..0x859,0x860..0x866,0x868..0x869	true
None	Summary	Support	Top	1	0x858..0x859,0x860..0x866,0x868..0x869	true
First	Off	Top	Top	0		false
First	Off	Jungle	Top	0		false
First	Summary	Top	Top	0		false
First	Summary	Jungle	Top	0		false
TopSolo	Off	Top	Top	0		false
TopSolo	Off	Jungle	Top	0		false
TopSolo	Summary	Top	Top	0		false
TopSolo	Summary	Jungle	Top	0		false
Bottom	Off	Top	Top	0		false
Bottom	Off	Jungle	Top	0		false
Bottom	Summary	Top	Top	0		false
Bottom	Summary	Jungle	Top	0		false
MidSolo	Off	Top	Top	0		false
MidSolo	Off	Jungle	Top	0		false
MidSolo	Summary	Top	Top	0		false
MidSolo	Summary	Jungle	Top	0		false
MidBottom	Off	Top	Top	0		false
MidBottom	Off	Jungle	Top	0		false
MidBottom	Summary	Top	Top	0		false
MidBottom	Summary	Jungle	Top	0		false
JungleOnly	Off	Top	Top	0		false
JungleOnly	Off	Jungle	Top	0		false
JungleOnly	Summary	Top	Top	0		false
JungleOnly	Summary	Jungle	Top	0		false
Line	Off	Top	Top	0		false
Line	Off	Jungle	Top	0		false
Line	Off	Mid	Top	0		true
Line	Off	Bottom	Top	0		true
Line	Off	Support	Top	0		true
Line	Summary	Top	Top	0		false
Line	Summary	Jungle	Top	0		false
Line	Summary	Mid	Top	1	0x858..0x859,0x860..0x866,0x868..0x869	true
Line	Summary	Bottom	Top	1	0x858..0x859,0x860..0x866,0x868..0x869	true
Line	Summary	Support	Top	1	0x858..0x859,0x860..0x866,0x868..0x869	true
Total	Off	Top	Top	0		false
Total	Off	Jungle	Top	0		true
Total	Off	Mid	Top	0		true
Total	Off	Bottom	Top	0		true
Total	Off	Support	Top	0		true
Total	Summary	Top	Top	0		false
Total	Summary	Jungle	Top	1	0x858..0x859,0x860..0x866,0x868..0x869	true
Total	Summary	Mid	Top	1	0x858..0x859,0x860..0x866,0x868..0x869	true
Total	Summary	Bottom	Top	1	0x858..0x859,0x860..0x866,0x868..0x869	true
Total	Summary	Support	Top	1	0x858..0x859,0x860..0x866,0x868..0x869	true

DONE
