i	idx	base	offset	name(명세)	tcx 응답	판정
10	0	MainObjective(인자 %4, i24)	0x0	tag	0x0       @tag                                                 tag:1B                                         (1B) 판별자 (Direct)	MATCH
10	1	MainObjective(인자 %4, i24)	0x1	phase (ObjectPhase)	0x1       @ComebackPick.line@tag                               tag:1B                                         (1B) 판별자 (Direct) | 0x1       @DefenseLine.0@tag                                   tag:1B                                         (1B) 판별자 (Direct) | 0x1       @Dive.line@tag                                       tag:1B                                         (1B) 판별자 (Direct) | 0x1       @Gank.line@tag                                       tag:1B                                         (1B) 판별자 (Direct) | 0x1       @Morgard.phase@tag                                   tag:1B                                         (1B) 판별자 (Direct) | 0x1       @Nexus.0@tag                                         tag:1B                                         (1B) 판별자 (Direct) | 0x1       @PressEpic.0@tag                                     tag:1B                                         (1B) 판별자 (Direct) | 0x1       @PressTower.line@tag                                 tag:1B                                         (1B) 판별자 (Direct) | 0x1       @Serpen.phase@tag                                    tag:1B                                         (1B) 판별자 (Direct) | 0x1       @SplitEpic.0@tag                                     tag:1B                                         (1B) 판별자 (Direct)	MATCH
10	2	MainObjective(인자 %4, i24)	0x2	with_battle (bool)	0x2       @ComebackPick.ready                                  bool                                           (1B) | 0x2       @Morgard.with_battle                                 bool                                           (1B) | 0x2       @Serpen.with_battle                                  bool                                           (1B)	MATCH
10	3	Strategy(PlayerState::strategy 반환 24B)	0xf	object_finish (ObjectFinishStrategy 1B)	0xf       object_finish@tag                                    tag:1B                                         (1B) 판별자 (Direct)	MATCH
10	4	PlayerState	0x930	info.team (usize)	0x930     info.team                                            usize                                          (8B)	MATCH
10	5	OperationData	0x0	cache (&AbstractGameWithCache)	0x0       cache                                                &'{erased} game_core::AbstractGameWithCache<'{erased}, '{erased}> (8B) → game_core::AbstractGameWithCache<'{erased}, '{erased}>	MATCH
10	6	OperationData	0x10	blackboard (&[Blackboard;2])	0x10      blackboard                                           &'{erased} [game_core::Blackboard; 2_usize]    (8B) → [game_core::Blackboard; 2_usize]	MATCH
10	7	AbstractGameWithCache	0x0	game.data (&dyn AbstractGame 의 데이터 포인터)	0x0       game                                                 &'{erased} dyn [Binder { value: Trait(game_core::AbstractGame), bound_vars: [] }] + '{erased} (16B) → dyn [Binder { value: Trait(game_core::AbstractGame), bound_vars: [] }] + '{erased}	CHECK
10	8	AbstractGameWithCache	0x8	game.vtable (&dyn AbstractGame 의 vtable)		NOHIT
10	9	AbstractGameWithCache	0x1e0	player_champion ([[Option<&Entity>;5];2], 80B)	0x1e0     player_champion[0][0]@Some.0                         &'{erased} game_core::Entity                   (8B) → game_core::Entity | 0x1e0     player_champion[0][0]@tag                            tag:8B                                         (8B) 판별자 (Niche)	MATCH
