setting_ok	tps=60	height=960000	champ_radius=10000
MINION_TOTAL	18
BASE	hp=1	max=1	x=15000	y=913000
PTS	[(371200, 80000), (395200, 80000), (419200, 80000)]

#W	window	danger
W	0	0
W	81	54
W	83	55
W	87	56
W	88	57
W	90	59
W	94	60
W	96	62
W	102	65
W	107	66
W	108	67
W	112	68
W	114	70
W	118	71
W	120	73
W	123	75
W	126	76
W	129	77
W	131	78
W	135	80
W	136	81
W	141	82
W	142	83
W	147	86
W	150	88
W	155	89
W	156	91
W	160	92
W	162	93
W	166	94
W	168	96
W	171	97
W	174	99
W	179	100
W	180	102
W	183	103
W	184	104
W	189	106
W	190	107
W	195	109
W	200	110
W	201	112
W	203	113
W	207	114
W	208	115
W	210	117
W	214	118
W	216	119
W	219	120
W	222	122
W	224	123
W	227	124
W	228	125
W	232	126
W	234	128
W	238	129
W	240	130
W	243	133
W	248	134
W	249	135
W	254	136
W	255	138
W	256	139
W	261	140
W	262	141
W	267	144
W	270	145
W	272	146
W	276	148
W	278	149
W	280	150
W	282	151
W	286	152
W	288	154
W	291	155
W	294	156
W	296	157
W	300	159
W	302	160
W	303	161
W	307	162
W	309	164
W	310	165
W	315	167
W	320	168
W	321	170
W	326	171
W	327	172
W	330	174
W	331	175
W	334	176
W	336	177
W	339	178
W	342	180
W	344	181
W	348	182
W	350	183
W	354	185
W	355	186
W	360	188
W	363	191
W	368	192
W	369	193
W	374	194
W	375	196
W	379	197
W	381	198
W	384	199
W	387	202
W	390	203
W	392	204
W	396	206
W	398	207

#T	tps	r09	g1	g2	g3	g4
T	1	false	false	false	false	false
T	2	false	false	false	false	false
T	5	false	false	false	false	false
T	10	false	false	false	false	false
T	15	false	false	false	false	false
T	20	false	false	false	false	false
T	25	false	false	false	false	true
T	30	false	false	false	true	true
T	40	false	false	false	true	true
T	50	false	false	true	true	true
T	60	false	false	true	true	true
T	80	false	false	true	true	true
T	100	false	true	true	true	true
T	150	false	true	true	true	true
T	200	false	true	true	true	true

#K	K	agree	disagree	verdict
K	K=1	15	0	가능
K	K=2	15	0	가능
K	K=3	15	0	가능
K	K=4	15	0	가능

#NOTE	K 가 여럿 '가능' 이면 이 데이터로는 못 가른다 — g1..g4 가 갈리는 tps 를 찾아야 한다
