
===== specs[0] ult =====
  mem[0 ] PlayerState(=GamePlayer in 0x930    dir=r 관측=['load']               OK
  mem[1 ] PlayerState(=GamePlayer in 0x9c0    dir=r 관측=['load']               OK
  mem[2 ] OperationData              0x0      dir=r 관측=['load', 'store']      OK
  mem[3 ] OperationData              0x8      dir=r 관측=['addr', 'load']       OK
  mem[4 ] AbstractGameWithCache      0x1e0    dir=r 관측=['load']               OK
  mem[5 ] GameContext                0x8      dir=r 관측=['addr', 'load']       OK
  mem[6 ] GameContext                0x20     dir=r 관측=['load']               OK
  mem[7 ] Entity(champ)              0x0      dir=r 관측=['load', 'store']      OK
  mem[8 ] Entity(champ)              0x8      dir=r 관측=['addr', 'load']       OK
  mem[9 ] Entity(target)             0x38     dir=r 관측=['load']               OK
  mem[10] Entity(champ)              0x438    dir=r 관측=['load']               OK
  mem[11] Entity(champ/target)       0x470    dir=r 관측=['load']               OK
  mem[12] Entity(champ)              0x538    dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[13] Entity(champ)              0x5c8    dir=r 관측=['load']               OK
  mem[14] Entity(champ/target)       0x660    dir=r 관측=['load']               OK
  mem[15] Entity(champ/target)       0x668    dir=r 관측=['load']               OK
  mem[16] Entity(champ/target)       0x680    dir=r 관측=['load']               OK
  mem[17] Effect                     0x0      dir=r 관측=['load', 'store']      OK
  mem[18] Effect                     0x8      dir=r 관측=['addr', 'load']       OK
  mem[19] Effect                     0x10     dir=r 관측=['addr', 'load']       OK
  mem[20] Effect                     0x18     dir=r 관측=['load']               OK
  mem[21] Effect                     0x28     dir=r 관측=['addr']               OK
  mem[22] Effect                     0x30     dir=r 관측=['load']               OK
  mem[23] dyn EffectType vtable      0x10     dir=r 관측=['addr', 'load']       OK
  mem[24] dyn EffectType vtable      0xf8     dir=r 관측=['load']               OK
  mem[25] dyn EffectType vtable      0x118    dir=r 관측=['load']               OK
  mem[26] Option<Input> (sret 반환슬롯)  0x0      dir=w 관측=['load', 'store']      OK
  mem[27] Option<Input> (sret 반환슬롯)  0x8      dir=w 관측=['addr', 'load']       (판정보류: addr 만)
  mem[28] Option<Input> (sret 반환슬롯)  0x0      dir=w 관측=['load', 'store']      OK

===== specs[1] calculate_jungle_action_score =====
  mem[0 ] PlayerState                0x930    dir=r 관측=['load']               OK
  mem[1 ] PlayerState                0x9c0    dir=r 관측=['load']               OK
  mem[2 ] OperationData              0x0      dir=r 관측=['load']               OK
  mem[3 ] OperationData              0x8      dir=r 관측=['load']               OK
  mem[4 ] AbstractGameWithCache      0x1e0    dir=r 관측=['load']               OK
  mem[5 ] Entity                     0x68     dir=r 관측=['load']               OK
