00000 0,17,21,28,17,27,29,32,20,28,31,33,27,31,32,33,20,28,27,31,29,32,33,34,29,33,34,35,33,34,35,35 0,32,32,33,32,33,33,34,32,33,33,34,33,34,34,35,32,33,33,34,33,34,34,35,33,34,34,35,34,35,35,36
00000 0,14,8,16,7,17,11,18,11,17,14,18,14,19,15,19,9,16,14,18,15,19,17,20,15,19,18,20,18,21,19,21 0,36,36,37,36,37,37,38,36,37,37,38,37,38,38,39,36,37,37,38,37,38,38,39,37,38,38,39,38,39,39,40
00000 0,7,5,9,7,9,9,9,6,9,8,10,9,10,10,10,7,9,9,10,9,10,10,10,9,10,9,10,10,10,10,10 0,16,16,17,16,17,17,18,16,17,17,18,17,18,18,19,16,17,17,18,17,18,18,19,17,18,18,19,18,19,19,20
00000 0,19,17,25,15,24,24,28,14,24,22,27,22,28,26,29,18,25,25,27,26,28,28,29,24,27,27,28,28,29,28,29 0,54,54,55,54,55,55,56,54,55,55,56,55,56,56,57,54,55,55,56,55,56,56,57,55,56,56,57,56,57,57,58
00000 0,3,3,4,0,0,0,0,1,4,4,5,0,0,0,0,2,4,5,5,0,0,0,0,2,4,5,5,0,0,0,0 0,12,11,13,0,0,0,0,11,14,14,15,0,0,0,0,12,14,14,15,0,0,0,0,13,15,15,16,0,0,0,0
11111 0,19,23,34,19,28,28,35,19,27,30,35,27,31,33,36,22,31,32,36,30,35,33,36,31,34,36,37,34,36,36,37 0,6,6,7,6,7,7,8,6,7,7,8,7,8,8,9,6,7,7,8,7,8,8,9,7,8,8,9,8,9,9,10
00000 0,18,15,27,16,25,25,30,19,28,28,33,29,33,33,35,14,25,22,29,27,31,30,32,28,33,33,35,36,37,37,37 0,48,48,49,48,49,49,50,48,49,49,50,49,50,50,51,48,49,49,50,49,50,50,51,49,50,50,51,50,51,51,52
00000 0,10,5,11,7,10,9,11,4,10,7,11,8,10,10,11,4,12,8,12,10,12,11,12,7,12,9,12,10,12,11,12 0,46,46,47,46,47,47,48,46,47,47,48,47,48,48,49,46,47,47,48,47,48,48,49,47,48,48,49,48,49,49,50
00000 0,7,6,8,4,8,8,9,6,10,11,11,8,10,11,11,6,8,8,8,8,9,9,9,9,11,11,11,10,11,11,11 0,10,10,11,10,11,11,12,10,11,11,12,11,12,12,13,10,11,11,12,11,12,12,13,11,12,12,13,12,13,13,14
00000 0,16,11,21,13,22,18,23,13,23,18,25,20,25,22,25,19,24,23,26,26,27,26,27,26,28,27,28,28,28,28,28 0,48,48,49,48,49,49,50,48,49,49,50,49,50,50,51,48,49,49,50,49,50,50,51,49,50,50,51,50,51,51,52
00000 0,15,13,20,14,24,20,24,7,18,18,22,17,24,22,24,9,19,16,21,18,24,22,24,13,21,19,22,19,24,23,24 0,16,16,17,16,17,17,18,16,17,17,18,17,18,18,19,16,17,17,18,17,18,18,19,17,18,18,19,18,19,19,20
11111 0,21,21,31,15,27,25,32,19,30,26,33,25,33,29,34,23,31,31,36,29,34,34,37,31,37,33,37,34,38,35,38 0,6,6,7,6,7,7,8,6,7,7,8,7,8,8,9,6,7,7,8,7,8,8,9,7,8,8,9,8,9,9,10
00000 0,5,7,10,5,7,10,11,3,7,8,10,6,8,10,11,6,7,10,11,7,8,10,11,7,8,10,11,7,8,10,11 0,12,12,13,12,13,13,14,12,13,13,14,13,14,14,15,12,13,13,14,13,14,14,15,13,14,14,15,14,15,15,16
00000 0,5,6,8,5,7,7,8,6,7,7,8,6,7,7,8,4,6,8,8,6,7,8,8,7,7,8,8,7,7,8,8 0,50,50,51,50,51,51,52,50,51,51,52,51,52,52,53,50,51,51,52,51,52,52,53,51,52,52,53,52,53,53,54
00000 0,15,14,23,21,24,22,25,14,23,19,26,26,27,26,27,13,20,21,26,24,27,24,27,22,26,25,28,27,28,27,28 0,26,26,27,26,27,27,28,26,27,27,28,27,28,28,29,26,27,27,28,27,28,28,29,27,28,28,29,28,29,29,30
00000 0,5,3,6,5,6,6,7,7,8,7,8,8,8,8,8,3,6,5,7,7,7,8,8,7,8,7,8,8,8,8,8 0,32,32,33,32,33,33,34,32,33,33,34,33,34,34,35,32,33,33,34,33,34,34,35,33,34,34,35,34,35,35,36
00000 0,16,12,22,20,27,25,29,20,26,24,29,30,33,31,33,18,27,23,29,28,31,31,32,29,32,30,32,33,34,34,34 0,28,28,29,28,29,29,30,28,29,29,30,29,30,30,31,28,29,29,30,29,30,30,31,29,30,30,31,30,31,31,32
00000 0,15,12,20,10,18,16,21,10,17,18,22,16,19,20,22,12,17,18,21,16,19,19,21,17,18,22,22,20,20,22,22 0,46,46,47,46,47,47,48,46,47,47,48,47,48,48,49,46,47,47,48,47,48,48,49,47,48,48,49,48,49,49,50
00000 0,14,16,22,21,25,23,27,18,24,25,29,26,28,28,30,17,23,24,27,26,28,28,30,22,27,27,30,27,29,29,31 0,34,34,35,34,35,35,36,34,35,35,36,35,36,36,37,34,35,35,36,35,36,36,37,35,36,36,37,36,37,37,38
00000 0,12,14,20,10,16,18,21,15,19,21,24,19,20,23,24,12,19,20,24,16,20,21,24,19,22,23,25,21,22,24,25 0,46,46,47,46,47,47,48,46,47,47,48,47,48,48,49,46,47,47,48,47,48,48,49,47,48,48,49,48,49,49,50
00000 0,5,7,8,5,7,10,10,9,10,11,11,10,11,12,12,8,8,9,9,9,9,10,10,11,11,12,12,11,11,12,12 0,14,14,15,14,15,15,16,14,15,15,16,15,16,16,17,14,15,15,16,15,16,16,17,15,16,16,17,16,17,17,18
11111 0,13,11,15,17,22,20,23,10,17,16,18,20,23,21,23,10,16,16,17,19,22,22,23,18,20,20,20,22,23,23,23 0,10,10,11,10,11,11,12,10,11,11,12,11,12,12,13,10,11,11,12,11,12,12,13,11,12,12,13,12,13,13,14
00000 0,1,3,3,3,3,4,4,3,4,5,5,6,6,6,6,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6 0,27,32,33,27,28,33,34,22,33,33,34,33,34,34,35,32,33,33,34,33,34,34,35,33,34,34,35,34,35,35,36
00000 0,8,10,12,6,10,10,12,10,13,12,13,12,13,12,13,8,9,12,12,11,11,12,12,13,13,13,13,13,13,13,13 0,32,32,33,32,33,33,34,32,33,33,34,33,34,34,35,32,33,33,34,33,34,34,35,33,34,34,35,34,35,35,36
00000 0,5,6,8,4,8,8,10,5,7,8,9,7,9,9,10,7,8,8,8,9,10,10,10,8,9,9,9,9,10,10,10 0,34,34,35,34,35,35,36,34,35,35,36,35,36,36,37,34,35,35,36,35,36,36,37,35,36,36,37,36,37,37,38
00000 0,4,9,11,9,12,14,15,12,13,16,16,14,15,17,17,9,10,13,13,14,15,15,15,15,16,17,17,16,17,17,17 0,28,28,29,28,29,29,30,28,29,29,30,29,30,30,31,28,29,29,30,29,30,30,31,29,30,30,31,30,31,31,32
00000 0,20,22,27,13,26,27,31,13,23,24,28,20,29,28,32,12,25,26,30,21,30,30,33,20,27,28,31,26,32,31,34 0,46,46,47,46,47,47,48,46,47,47,48,47,48,48,49,46,47,47,48,47,48,48,49,47,48,48,49,48,49,49,50
00000 0,20,19,33,18,30,29,38,28,37,34,40,32,39,36,41,20,28,31,36,26,33,34,39,32,37,38,40,35,39,39,41 0,34,34,35,34,35,35,36,34,35,35,36,35,36,36,37,34,35,35,36,35,36,36,37,35,36,36,37,36,37,37,38
11111 0,19,16,25,19,27,22,27,19,25,26,28,25,28,27,28,17,25,25,28,24,28,26,28,25,27,28,29,27,29,28,29 0,10,10,11,10,11,11,12,10,11,11,12,11,12,12,13,10,11,11,12,11,12,12,13,11,12,12,13,12,13,13,14
00000 0,4,6,8,2,5,6,8,4,6,8,8,5,6,8,8,5,7,7,9,5,7,7,9,7,7,9,9,7,7,9,9 0,10,10,11,10,11,11,12,10,11,11,12,11,12,12,13,10,11,11,12,11,12,12,13,11,12,12,13,12,13,13,14
11111 0,18,19,24,26,30,32,33,30,33,35,35,37,37,39,39,16,26,26,31,33,35,36,37,33,35,37,37,38,38,40,40 0,12,12,13,12,13,13,14,12,13,13,14,13,14,14,15,12,13,13,14,13,14,14,15,13,14,14,15,14,15,15,16
00000 0,4,5,6,3,5,6,6,3,6,5,6,5,6,6,6,3,5,6,6,4,5,6,6,5,6,6,6,6,6,6,6 0,6,6,7,6,7,7,8,6,7,7,8,7,8,8,9,6,7,7,8,7,8,8,9,7,8,8,9,8,9,9,10
00000 0,7,7,12,11,13,14,16,6,9,11,13,12,13,15,16,9,11,12,14,14,15,15,16,12,13,14,15,14,15,15,16 0,16,16,17,16,17,17,18,16,17,17,18,17,18,18,19,16,17,17,18,17,18,18,19,17,18,18,19,18,19,19,20
00000 0,13,12,19,11,17,17,20,11,17,16,21,18,20,20,22,5,14,14,19,13,17,18,20,14,18,18,21,19,20,21,22 0,36,36,37,36,37,37,38,36,37,37,38,37,38,38,39,36,37,37,38,37,38,38,39,37,38,38,39,38,39,39,40
00000 0,3,6,8,7,8,9,10,6,8,8,9,9,9,10,10,4,6,7,9,8,9,9,10,7,8,8,9,9,9,10,10 0,12,12,13,12,13,13,14,12,13,13,14,13,14,14,15,12,13,13,14,13,14,14,15,13,14,14,15,14,15,15,16
00000 0,7,9,10,8,10,11,11,8,11,11,12,10,11,12,12,4,8,11,11,9,11,12,12,9,11,12,12,10,11,12,12 0,28,28,29,28,29,29,30,28,29,29,30,29,30,30,31,28,29,29,30,29,30,30,31,29,30,30,31,30,31,31,32
00000 0,5,5,7,5,7,8,9,7,10,10,11,9,10,11,11,3,8,8,10,7,9,10,11,7,10,10,11,9,10,11,11 0,23,23,24,28,29,29,30,28,29,29,30,29,30,30,31,18,29,29,30,29,30,30,31,29,30,30,31,30,31,31,32
00000 0,20,20,30,16,25,26,30,11,23,26,31,22,27,29,31,12,26,26,32,22,28,30,32,20,27,30,32,27,29,32,32 0,32,32,33,32,33,33,34,32,33,33,34,33,34,34,35,32,33,33,34,33,34,34,35,33,34,34,35,34,35,35,36
00000 0,25,22,35,20,35,34,41,24,35,29,38,35,42,38,43,18,34,29,38,31,39,37,41,34,40,35,40,40,43,41,43 0,52,52,53,52,53,53,54,52,53,53,54,53,54,54,55,52,53,53,54,53,54,54,55,53,54,54,55,54,55,55,56
00000 0,19,17,25,17,24,22,27,17,25,22,27,22,26,25,28,16,26,24,29,22,27,25,29,23,28,26,29,25,28,27,29 0,54,54,55,54,55,55,56,54,55,55,56,55,56,56,57,54,55,55,56,55,56,56,57,55,56,56,57,56,57,57,58
10110 0,7,5,9,6,9,9,11,5,8,8,10,8,10,10,12,4,10,7,10,10,12,11,12,8,10,9,10,11,12,11,12 0,4,6,7,4,5,7,8,4,5,7,8,5,6,8,9,6,7,7,8,7,8,8,9,7,8,8,9,8,9,9,10
11111 0,18,18,27,15,22,22,27,20,25,26,28,25,26,27,28,15,24,23,28,24,26,26,28,24,27,27,29,27,28,28,29 0,6,6,7,6,7,7,8,6,7,7,8,7,8,8,9,6,7,7,8,7,8,8,9,7,8,8,9,8,9,9,10
00000 0,3,4,6,2,3,6,6,4,6,6,7,5,6,7,7,3,6,5,7,5,6,7,7,5,7,6,7,6,7,7,7 0,9,9,11,8,10,11,12,10,11,11,12,11,12,12,13,8,11,10,12,11,12,12,13,11,12,12,13,12,13,13,14
